12	22387 25032
2	22387 13653
5	22387 14206
2	22387 13764
3	22387 21357
2	22387 14209
2	22387 10316
5	22387 25501
3	22387 23684
8	6355 10801
5	6355 9868
6	6355 9870
3	6355 9862
2	6355 8817
2	12892 25501
2	8990 6468
2	8990 24571
2	8990 14206
2	20088 23696
2	20088 23770
30	20088 23684
2	23914 23930
3	23914 358
2	23914 23684
3	25261 9943
5	25261 19644
2	11856 358
5	11856 7621
4	18196 23684
2	18196 13604
5	18196 358
5	18196 359
4	18196 6126
2	18196 13764
2	18196 11924
2	18196 18013
2	18196 6365
2	23789 15139
2	23789 358
4	23789 6126
2	7316 358
2	7316 359
2	7316 25032
2	8358 25517
3	8415 11806
5	8415 358
6	8415 359
3	8415 10268
3	10801 22607
3	10801 6855
14	10801 23514
8	10801 358
4	10801 11515
3	10801 22482
3	17804 23684
4	17804 24581
2	17804 25501
12	21424 358
3	21424 359
2	21424 6126
2	21424 25035
2	25360 14206
2	8004 358
2	24222 23701
2	18155 358
3	18155 10316
3	15713 24537
3	15713 6126
4	23518 23701
2	23518 10366
2	11174 13764
2	11174 18090
3	802 17957
3	23669 7276
7	23669 25034
5	23669 5952
41	23669 14156
2	23669 8758
2	23669 7244
3	23669 22981
3	23669 25502
2	23669 25151
2	23669 17946
2	23669 12873
2	23669 23669
2	23669 12872
3	23669 16014
8	23669 24957
13	23669 17069
3	23669 25117
6	23669 7983
3	23669 11310
57	23669 13604
3	23669 361
3	23669 13001
2	23669 7561
9	23669 23770
3	23669 22122
7	23669 23710
10	23669 25228
3	23669 16407
2	23669 18529
3	23669 23745
38	23669 358
2	23669 25505
2	23669 12551
22	23669 359
18	23669 23725
2	23669 17730
3	23669 25503
4	23669 10960
16	23669 13076
2	23669 23383
2	23669 18171
2	23669 23783
7	23669 13607
3	23669 15339
2	23669 10952
2	23669 24586
2	23669 14635
3	23669 25517
4	23669 18017
2	23669 16405
3	23669 17581
3	23669 13608
64	23669 25032
2	23669 13079
2	23669 6126
3	23669 9045
4	23669 13653
2	23669 8089
5	23669 23882
10	23669 14206
2	23669 16361
5	23669 8218
5	23669 13764
2	23669 17957
2	23669 23724
4	23669 14209
11	23669 25365
5	23669 12341
9	23669 25035
7	23669 25504
5	23669 808
2	23669 25026
12	23669 19244
3	23669 12322
4	23669 12328
117	23669 25501
9	23669 12934
30	23669 23684
26	23669 6365
2	23669 25325
2	11926 6126
29	11926 17957
2	20481 358
5	12872 23930
6	12872 358
7	12872 359
2	13898 358
3	11802 23930
5	11802 23701
2	24150 358
2	24150 6126
2	16014 14206
3	5979 16401
2	5979 24581
17	10287 17788
2	10287 23669
5	10287 23770
2	10287 10960
3	10287 6216
5	10287 25517
29	10287 14206
16	10287 23684
4	17824 25130
2	17824 16071
2	17824 17824
8	17824 7983
14	17824 13604
3	17824 13001
2	17824 22122
3	17824 23710
2	17824 21936
2	17824 25228
27	17824 358
3	17824 10268
30	17824 359
2	17824 23565
2	17824 17730
5	17824 13607
2	17824 13471
2	17824 15551
6	17824 25032
17	17824 6126
5	17824 13653
6	17824 14206
4	17824 8089
3	17824 13764
3	17824 23316
6	17824 14209
5	17824 25035
7	17824 12322
14	17824 25501
2	17824 23684
3	7714 18090
2	14187 7982
3	14187 14187
7	14187 10824
4	14187 23710
3	14187 358
9	14187 6216
3	14187 14206
4	14187 24599
2	14187 22914
2	14187 25501
6	13611 8756
23	13611 12354
5	13611 7295
2	13611 676
3	13611 12597
2	17943 23684
8	10369 358
2	21464 19127
2	21464 358
11	19027 23930
3	18800 23930
6	18800 358
2	18800 23351
3	18800 7870
2	858 14684
2	6996 358
4	6996 18013
9	24146 358
4	9868 358
3	17982 10268
3	22740 24965
5	22740 358
3	22740 18293
4	22740 18289
3	8925 8003
3	22753 20558
5	9300 8219
2	9300 359
9	9300 8218
4	10547 18579
3	10547 18153
2	10547 18858
2	10547 17970
4	10547 10274
18	10547 18017
3	10547 14544
5	10547 17957
4	9943 359
2	9943 23527
2	7920 17957
2	23812 10366
2	17219 358
6	19530 20088
3	19530 23669
6	19530 23930
2	19530 22327
2	19530 25228
13	19530 358
10	19530 359
7	19530 11763
2	19530 6126
12	19530 555
3	19530 18090
8	19530 25501
3	15396 358
3	15396 18013
7	11806 358
5	11806 359
3	11806 6126
3	11806 11763
3	6855 359
4	18678 17957
2	11619 19527
2	11619 18739
2	11619 13604
3	11619 13001
34	11619 23745
5	11619 358
2	11619 10268
4	11619 359
3	11619 18017
138	11619 864
5	11619 8485
7	11619 23882
14	11619 17957
10	11619 22154
2	11619 25325
3	6219 358
6	6374 10824
5	6374 6216
2	6374 25501
3	9517 359
2	9517 6126
2	19837 25034
4	10204 358
6	10204 6126
2	10204 6733
3	10204 11924
2	8063 6468
2	8063 23704
4	8063 23701
4	8063 358
3	8063 359
2	8063 13607
7	8063 24581
14	8063 23684
14	20558 14156
2	20558 25155
2	20558 23669
20	20558 358
3	20558 359
2	20558 21920
3	20558 20818
8	20558 11763
5	20558 6126
6	20558 13764
2	20558 25501
2	6430 18289
4	24957 17788
3	24957 21175
2	24957 15628
2	24957 22380
4	24957 9551
26	24957 361
2	24957 24392
3	24957 6006
2	24957 13928
3	24957 23770
2	24957 23710
2	24957 9191
2	24957 17795
2	24957 23059
2	24957 25332
3	24957 17730
5	24957 6106
2	24957 14635
5	24957 14225
4	24957 23318
2	24957 20100
3	24957 11763
2	24957 6126
9	24957 14206
2	24957 555
9	24957 13764
2	24957 21341
2	24957 17284
2	24957 6419
7	24957 24073
2	24957 20512
3	24957 11284
2	24957 8629
10	24957 17676
2	24957 7885
33	24957 23684
3	23814 24537
2	25879 23669
2	10471 358
6	13870 23684
5	18323 24150
5	18476 7244
2	9237 358
2	19208 7889
2	23511 18582
2	23511 17957
3	23511 9016
13	6586 5952
7	6586 23701
2	6586 25130
2	6586 18153
4	6586 23669
3	6586 11619
54	6586 13361
6	6586 18016
10	6586 361
6	6586 17711
9	6586 15482
2	6586 23770
3	6586 23577
13	6586 17691
4	6586 10632
20	6586 25517
11	6586 14206
7	6586 21199
3	6586 23890
106	6586 23684
4	6586 25325
54	8756 25277
4	8756 17824
2	8756 6586
45	8756 23930
14	8756 13190
2	8756 13604
2	8756 22327
18	8756 358
2	8756 25489
9	8756 359
2	8756 23725
2	8756 8003
19	8756 6849
3	8756 11763
36	8756 6126
7	8756 11924
2	8756 655
20	8756 13764
2	8756 6419
2	8756 18423
2	8756 18176
2	8756 18090
6	8756 18013
2	8756 21313
6	8756 23955
4	8756 25501
2	8756 23684
2	22935 18903
2	21303 358
3	7830 14156
2	7830 358
3	7830 6126
3	7403 10797
8	7403 23655
11	7403 358
4	7403 11763
2	7403 6126
4	7403 13653
3	11701 358
3	8175 25277
2	14684 23684
2	14684 358
2	18034 23684
2	16326 14156
2	16326 361
3	16326 358
8	16326 17957
